name,name_cn,info,score,score_count,rank,type,tags
月野艺能事务所,TSUKIPRO THE ANIMATION,13话 /  2017年10月4日 / ふじわら(ムービック),5.6,(75人评分),Rank 6617,,"TV,日本,偶像,2017年10月,2017,音乐改,声优,吉田玲子,原创,元永庆太郎,音乐,2017年,元永慶太郎,日本动画,屹青,【ANIME】TV丨日本,PRA,礼节性想看"
Underpass ～地下痴女～,,1话 /  2017年04月28日,5.7,(14人评分),,,
独角猫,Unikitty!,40话 /  2017年10月27日,,,,,"WEB,2017,空,Lego"
悠久持有者！,UQ HOLDER!～魔法先生ネギま！2～,12话 /  2017年10月2日 / 鈴木洋平 / 赤松健 / 藤井昌宏,5.5,(721人评分),Rank 8539,,"后宫,TV,日本,漫画改,战斗,2017年10月,J.C.STAFF,2017,漫改,热血,奇幻,2017年,漫画改编,日本动画,搞笑,卖肉,异世界,マンガ原作,福利,魔法老师,悠久持有者,赤松健"
悠久持有者！OAD,UQ HOLDER!～魔法先生ネギま！2～ OAD,3话 /  2017年9月8日 / 鈴木洋平 / 赤松健 / 藤井昌宏,6.0,(232人评分),Rank 6798,,"OVA,漫画改,OAD,J.C.STAFF,后宫,2017,肉,漫改,福利,奇幻,漫画改编,战斗,魔法老师,卖肉,日本动画,日本,2017年,f.日本,2017年9月,悠久持有者！"
URAHARA,,12话 /  2017年10月4日 / 久保亜美香,5.8,(485人评分),Rank 7725,,"TV,日本,奇幻,原创,2017年10月,2017,百合,轻小说改,白组,小说改,EMTスクエアード,子供向,萌,EMT2,EMTSquared,2017年,日本动画,电波,外星人,白組,EMT_Squared,URAHARA"
Villainous,,10话 /  2017年5月15日,,(少于10人评分),,,"TV,欧美,2017,2017年,10,部"
热带病毒,Virus Tropical,2017-10-21 / 圣地亚哥·凯塞多,,(少于10人评分),,,剧场版
雌狐：大电影,Vixen: The Movie,1话 /  2017年5月8日 / Curt Geda、James Tucker,,(少于10人评分),,,"剧场版,欧美,动画电影,漫画改,dc"
战神金刚：传奇的保护神 第二季,Voltron: Legendary Defender Season 2,13话 /  2017年1月20日,7.5,(21人评分),,,"WEB,欧美,萝卜,Netflix,TV,2017,科幻,梦工厂,机战,2017年,日本原作改编,MIR,韩美合作,太空歌剧,StudioMIR"
战神金刚：传奇的保护神 第三季,Voltron: Legendary Defender Season 3,7话 /  2017年8月4日,6.9,(19人评分),,,"WEB,欧美,TV,Netflix,科幻,2017,萝卜,梦工厂,机战,MIR,韩美合作,日本原作改编,StudioMIR,太空歌剧"
战神金刚：传奇的保护神 第四季,Voltron: Legendary Defender Season 4,6话 /  2017年10月13日,7.0,(16人评分),,,"WEB,欧美,2017,Netflix,TV,梦工厂,机战,战斗,科幻,MIR,韩美合作,日本原作改编"
漩涡,Vortex,2017-06-13 / Alexandre Alagôa,,(少于10人评分),,,"2017,定格动画,短片,葡萄牙,Alagôa,实验"
"Wake Up, Girls! 新章","Wake Up, Girls! 新章",13话 /  2017年10月9日 / 板垣伸 / Green Leaves / 菅原美幸,5.1,(293人评分),Rank 8727,,"TV,日本,原创,偶像,2017年10月,2017,millepensee,神前晓,板垣伸,音乐,励志,2017年,剧场版,百合,2017年1月,续作,山本宽,治愈,日本动画,TVA,2010-2019,wug"
沃土 第三季,Wakfu Season 3,13话 /  2017年9月2日,,(少于10人评分),,,"TV,游戏改,欧美,法国,2017年,异世界,动画,漫改,泡面番,搞笑,恋爱,冒险,動畫,日法合作"
咱们裸熊 第三季,We Bare Bears Season 3,44话 /  2017年4月3日,7.1,(185人评分),Rank 2054,,"TV,原创,日常,美国,欧美,搞笑,2017年4月,2017,2017年,2010s,动漫,动物,Animation,童年,TVA,萌,动画,7分,CARTOONNETWORK,裸熊"
温斯顿,Winston,2017 / Aram Sarkisian,,(少于10人评分),,,"短片,恐怖,美国,2017,Sarkisian"
今夕何夕2,World of Tomorrow Episode Two: The Burden of Other People's Thoughts,1话 /  2017-10-20 / Don Hertzfeldt,,(少于10人评分),,,"欧美,短片"
Yorha Troops Extermination Plan,,1话 /  2017-11-03,4.6,(14人评分),,,
吉原玫瑰,Yoshiwara Rose,1话 /  2017-10-11,5.5,(31人评分),,,
僵尸游乐园,Zombillénium,1话 /  2017-05-24(戛纳电影节) / 2017-10-18(法国) / 阿尔蒂尔·德潘，Alexis Ducord,,(少于10人评分),,,"剧场版,2017,欧美"
Zトン人外アニメーション A Beautiful Greed Nulu Nulu,,1话 /  2017年05月06日,4.9,(192人评分),Rank 8780,,
绿野仙踪之奥兹国奇幻之旅,Урфин Джюс и его деревянные солдаты,1话 /  2017年3月23日 / Fyodor Dmitriev、Darina Shmidt、Vladimir Toropchin,,,,,"剧场版,欧美"
如果有○○就好了。,○○さえいればいい。,8话 /  2017年10月9日,6.1,(457人评分),Rank 6573,,"WEB,泡面番,小剧场,2017年10月,2017,轻小说改,搞笑,OVA,SP,轻改,小说改,短片,DMM.futureworks,泡面,恋爱,日常,OVA&OAD,2018,10月,原创,日本,W-toonStudio"
《青柠之夏》PV,《青柠之夏》PV,1话 /  2017年3月15日 / 王瀚 / 客心,,(少于10人评分),,,"短片,PV,2017,动画片,中国,国产,漫画改,国产动画,中国动画,国动"
漫研部～Surgical Friends～,あいまいみー～Surgical Friends～,12话 /  2017年1月3日 / ちょぼらうにょぽみ,6.4,(305人评分),Rank 5104,,"TV,日本,漫画改,泡面番,2017年1月,搞笑,2017,脑洞,Seven,电波,漫改,泡面,百合,日常,内田真礼,短片,续作,校园,续集,萌"
做得很好！名作君 第二季,あはれ！名作くん  第2期,39话 /  2017年4月7日,,(少于10人评分),,,"TV,日本,泡面番,2017,日本动画,PieInTheSky,廣川祐樹,新海岳人,なすなかにし,小野賢章"
恶作剧魔女与不夜城,いたずら魔女と眠らない街,1话 /  2017年12月1日 / 小松田大全 / 佐川遥,6.3,(48人评分),,,"游戏改,WEB,OVA,2017,サンジゲン,日本,喜多村英梨,三次元,2017年10月,短片,2017年12月,独立ova,游戏,日本动画,动画,奇幻,小松田大全,恶作剧魔女与不眠之街,2017年Web·SP,优先级c,独立OVA、OAD、特番,178没,野中藍,潘めぐみ,收藏,加藤陽一"
草莓巧克力风味,いちごショコラふれーばー,2话 /  2017年7月14日 / NAZ,3.8,(131人评分),Rank 9186,,
いっしょにイこうよ! -桃色動画館-,,2017年06月01日,,(少于10人评分),,,
我们的爱总是只有10厘米。,いつだって僕らの恋は10センチだった。,6话 /  2017年11月24日 / 塚田拓郎 / 藤井まき、常盤健太郎；副人设：近藤奈都子,6.6,(1582人评分),Rank 4441,,"校园,TV,恋爱,日本,原创,2017年10月,告白实行委员会,honeyworks,音乐改,2017,Lay-duce,青春,音乐,纯爱,神谷浩史,2017年,日常,治愈,日本动画,戸松遥,豊崎愛生,少女漫,爱情,阿澄佳奈,梶裕貴,鈴村健一,我们的爱总是只有10厘米"
犬屋敷,いぬやしき,11话 /  2017年10月12日 / 籔田修平 / 奥浩哉（講談社「イブニング」連載中）,6.6,(2371人评分),Rank 4648,,"科幻,TV,日本,漫画改,战斗,MAPPA,2017年10月,漫改,2017,noitaminA,剧情,奇幻,日本动画,犯罪,濑古浩司,血腥,猎奇,瀬古浩司,黑暗,2017年,奥浩哉,犬舍,籔田修平,恩田尚之"
"Wake Up, Girl ZOO！从台湾GO！",うぇいくあっぷがーるZOO！台湾でGO！,1话 /  2017-02-05,4.9,(19人评分),,,"WEB,2017,短片,偶像,原创,SP,Ordet,2010-2019,青山吉能,小剧场,日本动画,音乐,励志,Karasfilms,永野爱理,吉冈茉祐,WUG!,森井健史郎,2017年Web·SP,永野愛理,吉岡茉祐,二〇一七年,兽化,_3分,田中美海,网络动画,森井ケンシロウ,[NBG],山下七海,山崎雄太"
